Category,Lat,Long,Cases
Whooping Cough,15.7662,24.90422,58
Measles,-26.522503,31.465866,281
Measles,60.12816,18.6435,32
Measles,59.26869,18.01208,10
Measles,59.55415, 16.53413 ,1
Rubella,60.41385,15.0293,51
Other,60.12816,18.64350,2
Measles,46.818188,8.227512,515
Measles,46.991313,7.536765,58
Measles,46.561313,6.536765,22
Measles,35.82688,36.69572,7000
Measles,34.80207,38.99681,13
Polio,35.33333,40.15001,17
Polio,36.12634,39.78783,1
Other,33.48006,36.30098,6
Other,33.4645624,36.32000909999999,9
Other,33.4702172,36.29968380,90
Measles,23.69781,120.960515,12
Rubella,23.009781,120.960515,1
Measles,25.091075,121.559834,3
Measles,23.69781,120.96052,2
Measles,23.69781,120.96051,26
Measles,25.06894,121.59090,7
Rubella,24.70940,121.39585,6
Rubella,22.82030, 120.63973 ,1
Other,23.697810,120.960515,1
Polio,38.861034,71.276093,430
Measles,-6.36903,34.88882,70
Measles,-6.369028,33.5646,650
Measles,-7.85794,34.64539,1086
Measles,8.619543,0.824782,295
Measles,-21.13333,-175.20000,400
Measles,41.00527,28.97696,80
Measles,39.92077,32.85411,6983
Whooping Cough,52.13066,-3.78371,2466
Whooping Cough,54.80068,-2.0874,1080
Other,52.019029,-0.770427,3
Rubella,51.08952,-1.21684,14
Rubella,53.09402,-1.58203,65
Mumps,51.746774,-2.225786,10
Mumps,53.26928,-4.321285,23
Mumps,50.370381,-4.142653,46
Mumps,50.798914,-1.091163,66
Mumps,52.469978,-3.830377,26
Mumps,56.490671,-4.202646,9
Mumps,54.577232,-2.797483,12
Mumps,50.942297,-0.037438,112
Mumps,53.217882,-0.19997,43
Mumps,52.063422,-0.449777,61
Mumps,56.41041,-5.469723,119
Mumps,53.969009,-2.627691,47
Mumps,53.480713,-2.234377,35
Mumps,51.260145,0.55528,10
Mumps,51.500152,-0.126236,4
Mumps,55.86424,-4.25181,30
Mumps,54.23611,-4.54806,196
Mumps,51.75202,-1.25773,3
Mumps,51.75279,-1.25519,18
Mumps,52.62847,-1.12085,847
Mumps,52.62847,-2.26231,364
Measles,55.378051,-3.435973,1049
Measles,53.238342,-2.563342,22
Measles,52.267135,-1.467522,12
Measles,52.469978,-3.830377,207
Measles,55.208254,-2.078414,110
Measles,50.63185,-3.38242,33
Measles,51.652929,-0.199606,8
Measles,53.799639,-1.549122,15
Measles,51.260145,0.84428,19
Measles,50.63185,-3.38242,275
Measles,50.819522,-0.13642,4
Measles,50.798914,-1.091163,1
Measles,52.281943,-1.584471,3
Measles,53.238342,-2.999342,2
Measles,53.473517,-2.913271,2
Measles,52.119508,5.194365,275
Measles,52.405837,-1.512661,3
Measles,52.377566,-1.481544,9
Measles,56.490671,-4.202646,22
Measles,51.45451,-2.58791,3
Measles,52.94084,-4.17169,53
Measles,51.50813,-0.12801,36
Measles,51.25934,0.82672,21
Measles,53.41154,-2.99012,413
Measles,53.47216,-2.2534,98
Measles,53.5572,-2.40255,3
Measles,50.92062,0.28831,325
Measles,55.58333,-3.83333,9
Measles,54.61045,-2.80289,30
Measles,51.65849,-3.97441,1219
Measles,53.58444,-2.42862,31
Measles,53.96901,-2.62769,59
Measles,55.36409,-3.44842,2016
Measles,51.74677,-2.22579,62
Measles,54.68364,-1.82018,434
Measles,52.13066,-3.78371,1257
Measles,51.66517,-3.77165,36
Measles,54.5503,-1.21659,2
Measles,54.06276,-2.87189,75
Measles,51.74677,-2.22579,62
Measles,54.98642,-1.41899,19
Measles,52.14309,-3.37368,41
Measles,50.89362,-0.20681,2
Measles,56.23114,-4.46045,66
Measles,56.20821,-3.14952,19
Measles,51.51121,-0.11982,103
Measles,51.51121,-0.11982,62
Measles,54.77525,-1.58485,1
Measles,52.35552,-1.17432,1385
Measles,53.47932,-2.24849,36
Measles,53.38113,-1.47009,12
Measles,52.36799,-1.12085,70
Measles,55.37805,-3.435973,707
Measles,52.62847,-2.26231,11
Measles,51.61995,-3.81420,2
Measles,50.77721,-3.99946,1
Measles,51.63495,-3.9153,5
Measles,52.13066,-3.78371,543
Measles,40.714353,-74.005973,2
Measles,37.09024,-95.712891,98
Measles,30.61118,-90.00299,1
Whooping Cough,30.69537,-88.03989,15
Whooping Cough,64.83778,-147.71639,130
Measles,64.83778,-147.71596,1
Whooping Cough,34.04893,-111.09373,12000
Whooping Cough,33.44838,-112.07404,1
Measles,34.04893,-111.09373,1
Measles,33.44838,-112.07404,1
Measles,35.03130,-110.47163,7
Whooping Cough,33.240560,-109.283153,8
Measles,35.20523,-91.82562,2
Measles,36.778261,-119.417932,28
Measles,34.17053,-118.53234,2
Measles,37.05134,-122.0733,2
Measles,37.85341,-121.9018,4
Measles,33.95335,-117.39616,3
Measles,37.56299,-122.32553,5
Measles,37.60169,-121.71955,4
Measles,34.38718,-118.11227,10
Measles,37.35411,-121.95524,1
Measles,36.60024,-121.89468,2
Measles,33.71747,-117.83114,22
Measles,35.49373,-118.85968,1
Measles,32.71533,-117.15726,6
Measles,33.94159,-118.40853,4
Measles,33.81049,-117.91900,129
Measles,34.95921,-116.41939,3
Measles,37.87159,-122.27275,1
Measles,40.56811,-74.59502,1
Whooping Cough,39.9652553,-74.3118212,3
Measles,38.75408,-96.06445,175
Mumps,36.778261,-119.7932,9
Mumps,37.87533,-122.24556,29
Whooping Cough,36.778261,-119.417932,1496
Whooping Cough,36.888261,-119.417932,5270
Whooping Cough,36.99954,-119.417932,1
Whooping Cough,36.778261,-119.417932,5
Whooping Cough,34.2642,-119.417932,4100
Whooping Cough,37.467380,-126.339112,10831
Whooping Cough,37.91759, -121.17104 ,23
Other,37.76922,-122.44814,1
Measles,41.14084,-73.26126,2
Measles,41.32669,-72.80428,1
Other,39.550051,-105.782067,5
Whooping Cough,40.01499,-105.27055,37
Whooping Cough,39.64026,-106.3742,1510
Whooping Cough,40.53713,-102.34639,14
Whooping Cough,40.5266,-104.48,116
Measles,39.52806,-104.86972,2
Measles,39.64026,-106.37420,1
Measles,38.92028,-77.03344,2
Measles,39.29067,-75.63437,1
Whooping Cough,39.14406,-75.43447,48
Measles,39.53930,-75.66736,1
Measles,27.664827,-81.015754,1
Measles,27.664827,-81.515754,5
Measles,28.71317,-81.20782,2
Measles,26.1901,-80.36586,1
Measles,28.53834,-81.37924,1
Measles,28.34263,-81.52640,1
Measles,27.69477, -80.54384 ,5
Whooping Cough,26.1901,-80.36586,4
Whooping Cough,27.99036,-82.30177,40
Other,27.664827,-81.515754,41
Whooping Cough,32.157435,-82.907123,247
Measles,32.17507,-82.85450,1
Measles,34.23585, -84.14351 ,1
Measles,36.90194,-89.82361,1
Measles,19.89677,-155.58278,1
Measles,22.0833,-159.5000,12
Whooping Cough,44.068202,-114.742041,77
Whooping Cough,42.58364,-112.14302,1
Whooping Cough,43.47877,-116.24203,287
Mumps,46.72881,-117.01261,10
Mumps,43.61871,-116.21461,21
Whooping Cough,42.30401,-88.4016,313
Whooping Cough,38.90414,-89.92532,19
Measles,40.38851,-90.6773,2
Measles,39.78172, -89.65015 ,15
Whooping Cough,39.0108,-89.7878,24
Mumps,40.11059,-88.20727,100
Mumps,40.5352293,-89.01434819999997,16
Mumps,40.484864 ,-88.975651,3
Mumps,40.101952,-88.22716200000002,101
Measles,40.55122,-85.0236,5
Measles,40.551217,-85.602364,14
Measles,40.01062,-86.49965,16
Measles,39.1763,-86.53437,1
Measles,39.18514,-86.49965,1
Whooping Cough,40.551217,-85.602364,500
Whooping Cough,38.60561,-86.10109,3
Other,39.41654,-87.42075,100
Measles,43.14507,-95.14432,1
Measles,41.878003,-93.097702,1
Whooping Cough,41.88618,-93.11531,270
Mumps,41.66990,-91.59840,15
Measles,37.97169,-100.87266,6
Measles,38.845412,-94.852064,2
Measles,38.84541,-94.85206,27
Whooping Cough,38.97167,-95.23525,6
Whooping Cough,38.84541,-94.85206,491
Whooping Cough,38.36138,-98.76515,1
Whooping Cough,38.36138,-98.76515,27
Whooping Cough,37.95696,-98.04652,41
Whooping Cough,39.0186719,-84.58188799999999,9
Whooping Cough,44.76504,-69.71938,80
Whooping Cough,43.38453,-70.54399,6
Measles,45.253783,-69.445469,1
Measles,39.045755,-76.641271,4
Measles,39.04575,-76.64127,2
Whooping Cough,39.03665,-76.64612,133
Mumps,39.34624,-76.61818,12
Measles,42.407211,-71.3002437,10
Measles,42.407211,-71.382437,2
Mumps,42.358431,-71.059773,9
Measles,42.36009,-71.09416,1
Measles,42.27929,-71.41616,2
Measles,42.46721,-71.28742,2
Measles,42.12204,-72.60092,1
Measles,42.32509,-72.64120,1
Measles,42.35000,-71.08180,1
Whooping Cough,42.32509,-72.6412,52
Whooping Cough,41.7200,-70.2500,17
Measles,44.314844,-85.602364,1
Measles,42.59219,-83.33619,1
Measles,44.26413,-85.63602,2
Measles,44.68798,-85.51384,2
Measles,42.59106,-83.32700,1
Other,44.314844,-85.602364,3
Whooping Cough,44.314844,-85.602364,600
Whooping Cough,44.97304,-85.17691,1
Whooping Cough,44.7300Â°,-85.5500,81
Whooping Cough,42.59387,-85.90844,26
Whooping Cough,45.15382,-94.6859,46
Whooping Cough,45.63014,-94.01909,14
Whooping Cough,43.99518,-92.38136,98
Whooping Cough,45.02089,-93.50946,654
Whooping Cough,45.02089,-93.50946,4433
Whooping Cough,44.4100,-92.7200,11
Measles,44.979965,-93.263836,21
Measles,46.72955,-94.6859,21
Measles,45.02089,-93.50946,2
Measles,44.95370,-93.08996,21
Measles,45.01632,-93.71910,1
Measles,39.09973,-94.57857,11
Measles,44.97399,-93.22773,1
Whooping Cough,37.20896,-93.2923,4
Mumps,38.94038,-92.3277,6
Other,39.09973,-94.57857,2
Whooping Cough,48.42415,-114.15315,36
Whooping Cough,46.55886,-110.36257,355
Whooping Cough,45.78566,-108.43438,6
Whooping Cough,48.42415,-114.15315,225
Whooping Cough,47.49418,-111.28334,423
Measles,41.26570,-96.10507,1
Mumps,42.499198,-98.374572,20
Whooping Cough,40.81056,-96.68028,110
Whooping Cough,36.07956,-115.09405,22
Whooping Cough,41.1300,-115.3500,14
Measles,36.07956,-115.09405,9
Measles,38.77692, -114.85384 ,1
Measles,40.058324,-74.405661,4
Measles,40.57427,-74.60988,3
Measles,40.21705,-74.74294,1
Measles,40.66871,-74.11431,1
Measles,39.80559, -74.55947 ,2
Measles,40.53012,-74.31693,1
Mumps,40.05832,-74.40566,1
Whooping Cough,40.08213,-74.2097,14
Whooping Cough,40.3571,-74.6702,3
Mumps,40.08213,-74.2097,unknown
Measles,34.97273,-105.032364,1
Whooping Cough,34.51994,-105.87009,112
Whooping Cough,35.1107,-106.60999,331
Measles,34.52452,-105.87962,1
Measles,36.57060,-106.65755,1
Whooping Cough,34.5751567,-103.2663479,13
Whooping Cough,43.31195,-78.74762,15
Whooping Cough,40.84288,-73.29289,1288
Whooping Cough,43.02163,-78.96573,13
Measles,40.714353,-74.005973,11
Measles,40.714353,-73.995973,2
Measles,40.714353,-74.025973,1
Measles,40.714353,-74.15973,1
Measles,40.714353,-73.005973,1
Measles,40.65001,-73.95001,6
Measles,41.86438,-74.32843,1
Measles,40.70645,-73.95362,58
Measles,40.84700,-73.93732,26
Measles,40.65000,-73.95000,1
Measles,41.73379,-74.51543,3
Mumps,40.714353,-74.1505973,57
Mumps,40.71435,-74.00597,3502
Whooping Cough,44.44731,-74.93021,11
Measles,42.72841,-73.69179,1
Measles,42.65258,-73.75623,1
Whooping Cough,40.6781784,-73.9441579,109
Whooping Cough,43.16103,-77.6109219,1
Whooping Cough,43.0102323,-78.1815803,7
Whooping Cough,36.01174,-79.42538,82
Whooping Cough,35.77959,-78.63818,326
Whooping Cough,35.59314,-82.47528,19
Whooping Cough,35.21905,-83.04153,5
Mumps,35.759573,-79.0193,1
Measles,36.0263,-79.10969,23
Measles,35.76978,-78.9941,3
Measles,35.58486,-80.81007,1
Whooping Cough,47.55149,-101.00201,30
Whooping Cough,47.55149,-101.00201,58
Whooping Cough,47.55149,-101.00201,70
Whooping Cough,47.55149,-101.00201,179
Whooping Cough,40.417287,-82.907123,36
Whooping Cough,39.89121,-83.67739,901
Whooping Cough,40.36116,-83.75966,10
Whooping Cough,39.1000,-84.5167,20
Mumps,39.96118,-82.99879,483
Measles,40.45956,-82.30177,382
Measles,36.14500, -97.00684 ,1
Whooping Cough,43.80413,-120.5542,458
Whooping Cough,36.26615,-94.47998,29
Whooping Cough,36.25473,-94.47998,8
Whooping Cough,44.55211, -123.28839 ,2
Measles,44.84464,-122.59274,6
Measles,43.80413,-120.5542,5
Measles,44.17009,-120.02849,1
Measles,40.371376,-77.240515,5
Measles,40.4108,-75.24791,4
Measles,39.95233,-75.16379,1
Measles,40.44062,-79.99589,5
Measles,40.45369,-80.01211,3
Measles,40.58879,-77.56806,1
Whooping Cough,40.44508,-80.00877,46
Whooping Cough,40.03699, -75.37620 ,8
Whooping Cough,39.95125,-76.73365,3
Mumps,41.203322,-77.194525,9
Mumps,40.43918,-79.98966,5
Whooping Cough,40.44508,-80.00877,140
Whooping Cough,41.53508,-78.52238,32
Whooping Cough,40.44062,-79.99589,11
Measles,41.580095,-71.477429,1
Measles,41.82399,-71.41283,1
Whooping Cough,34.90462,-82.64834,2
Whooping Cough,34.90462,-82.64834,30
Whooping Cough,43.969515,-99.901813,17
Whooping Cough,44.49082,-103.85937,10
Measles,43.70943,-98.02980,13
Measles,43.54460, -96.73110 ,1
Measles,43.70943, -98.02980 ,13
Measles,35.517491,-86.580447,2
Measles,36.20852,-86.60664,5
Measles,31.968599,-99.901813,1
Measles,29.77518,-95.31025,1
Measles,32.7732,-97.35166,15
Measles,32.72541,-97.32085,16
Measles,32.78014,-96.80045,1
Measles,-12.59641,-41.71841,2
Measles,32.7732,-97.35166,1
Mumps,31.968599,-99.001424,1
Whooping Cough,31.13268,-97.52993,32
Whooping Cough,30.26382,-97.77139,3482
Whooping Cough,33.0198431,-96.6988856,2
Whooping Cough,41.756,-113.1918,7
Whooping Cough,41.53801,-111.57068,96
Whooping Cough,40.96288,-112.09533,1497
Whooping Cough,40.82976, -110.99835 ,63
Measles,39.32098,-111.09373,4
Measles,41.756,-111.76147,6
Measles,39.32098,-111.09373,1
Measles,39.66547,-110.08513,3
Measles,39.32098,-111.09373,1
Whooping Cough,41.26026,-111.95225,748
Whooping Cough,44.5588,-72.57784,632
Measles,37.431573,-78.656894,6
Measles,37.431573,-78.656894,3
Measles,38.95061,-77.40770,2
Measles,38.90855,-77.24052,1
Mumps,37.54072,-77.43605,15
Whooping Cough,36.94463,-80.32131,32
Whooping Cough,37.41375,-79.14225,1
Whooping Cough,38.90855,-77.24052,4
Whooping Cough,36.89494,-82.11608,18
Measles,38.908547,-77.240515,1
Whooping Cough,38.0567092,-78.6114999,1
Whooping Cough,47.751074,-120.740139,2
Whooping Cough,47.44732,-122.45985,1987
Whooping Cough,47.19356,-119.29864,13
Whooping Cough,48.19765,-122.57946,42
Whooping Cough,48.4242,-121.71144,433
Whooping Cough,48.033,-121.83395,408
Whooping Cough,47.28668,-119.28955,4783
Whooping Cough,46.23698, -118.58548 ,28
Measles,47.56541,-122.00357,2
Measles,46.1746472,-122.7746902,1
Measles,47.60621,-122.33207,2
Measles,47.75107,-120.74014,12
Measles,47.54803,-121.9836,8
Measles,47.54803,-121.9836,2
Measles,47.44443,-122.30050,1
Measles,47.59180,-122.25911,2
Measles,47.58068,-122.05587,5
Measles,47.65878, -117.42605 ,1
Measles,48.04051,-124.01677,1
Whooping Cough,38.5976262,-80.4549026,52
Measles,43.78444,-88.78787,3
Measles,43.78444,-88.78787,2
Mumps,43.07305,-89.40123,5
Whooping Cough,44.85045,-89.8505,1078
Whooping Cough,44.85045,-89.8505,100
Whooping Cough,44.75089,-92.38136,3
Whooping Cough,43.78444,-88.78787,814
Whooping Cough,44.26193,-88.41538,5923
Whooping Cough,44.38358,-89.81735,31
Other,0.61522,32.95898,20
Measles,1.38963,32.25543,1313
Measles,1.34158,32.32607,1216
Measles,1.37333,32.29028,112
Measles,0.78001,32.09106,3312
Measles,-0.1964,30.84425,38
Measles,1.43194,31.3525,159
Measles,3.03001,30.91,5
Measles,0.76825,31.07766,10
Measles,1.37333,32.29028,44
Measles,49.83968,24.02972,1112
Measles,50.4501,30.5234,10329
Measles,48.015883,37.80285,20
Measles,49.41097,26.08154,1952
Measles,49.99350,36.23038,47
Rubella,49.839683,24.029717,18
Polio,48.62080,22.28788,2
Polio,48.379433,31.165579999999977,2
Measles,14.05832,108.27720,3300
Measles,14.058324,108.277199,1
Mumps,22.27594,104.19309,50
Measles,14.05832,108.27720,3688
Rubella,11.32540,106.47702,29
Measles,21.30149,106.62913,888
Measles,16.847653,43.943679,157
Measles,15.35203,44.20746,3800
Measles,-13.9234,25.65308,13324
Measles,-13.1339,27.84933,10
Measles,-13.133897,27.849332,68
Measles,-13.09051,27.8421,15736
Measles,-13.09051,27.8421,26
Measles,-13.09954,27.85858,111
Measles,-13.805619,31.992808,6
Measles,-12.80383,28.21314,53
Other,-12.55824,28.28482,2094
Other,-14.38343,28.39294,204
Measles,-6.846813,39.271016,8173
Measles,-17.82922,31.053961,154
Measles,-19.01579,29.13239,9993
Measles,-20.65335,29.83887,524
Measles,-19.06163,29.15308,2
Measles,-22.070708,30.388184,70
Other,-17.82922,31.05396,207
Other,-18.47961,29.35547,3000
Other,-17.90361,30.94389,5
Attacks,33.94511,66.6534213,0
Attacks,33.9340383,67.7034312,3
Attacks,34.171831,70.621679,0
Attacks,3.8480325,11.502075200000035,0
Attacks,7.539381,-5.543922,0
Attacks,20.593684,78.962880,0
Attacks,24.8600,67.0100,0
Attacks,31.14713,75.34122,0
Attacks,-1.29207,36.82195,0
Attacks,9.5,8.8,0
Attacks,12.099305,8.753624,0
Attacks,9.9,8.7,0
Attacks,9.4,9.7,0
Attacks,10,9,0
Attacks,9.3,8.4,0
Attacks,9.077751,8.6774567,3
Attacks,10.077751,9.6774567,9
Attacks,9.077751,8.6774567,9
Attacks,28,68,0
Attacks,31.391158,71.641846,0
Attacks,33,72,0
Attacks,32.8,71.4,0
Attacks,28,64,0
Attacks,27,68,0
Attacks,29,70,0
Attacks,31.128199,72.147217,0
Attacks,30.14,69,0
Attacks,28.7,69.45,0
Attacks,29.99,70.5,0
Attacks,32,74,0
Attacks,33.266250,72.872314,0
Attacks,26,68,0
Attacks,24.995,70.4,0
Attacks,32,73,0
Attacks,28,65,0
Attacks,26,64,0
Attacks,28,65,0
Attacks,30,70,0
Attacks,25,68,0
Attacks,28,70,0
Attacks,31,69,0
Attacks,31,73,0
Attacks,34.856902,71.429936,0
Attacks,32.667476,69.859741,0
Attacks,24.861462,67.009939,0
Attacks,33.7167,73.0667,0
Attacks,24.88,66.97,0
Attacks,33.6667,73.1667,0
Attacks,30.1833,67,0
Attacks,34.0511024,72.0961149,0
Attacks,28.809516,63.909960,2
Attacks,28.4776626,65.569057,1
Attacks,25.0111453,67.0647044,1
Attacks,25.0111453,68.0647044,2
Attacks,33.639718,70.803416,11
Attacks,34.802470,71.880076,7
Attacks,26.591938,64.547167,2
Attacks,34.132210,72.099803,1
Attacks,29.3894007,68.3532207,1
Attacks,33.676296,71.880076,2
Attacks,33.217951,72.824900,3
Attacks,32.849537,73.176463,2
Attacks,32.775670,73.396189,1
Attacks,25.387182, 69.578905,1
Attacks,28.3894007,67.3532207,20
Attacks,32.238300,73.725779,3
Attacks,32.145326,73.571971,3
Attacks,28.3894007,66.3532207,9
Attacks,31.491860,73.967478,3
Attacks,28.3894007,68.3532207,2
Attacks,29.3894007,67.3532207,24
Attacks,30.3894007,70.3532207,9
Attacks,31.078753,72.011912,2
Attacks,31.003449,71.484568,1
Attacks,29.427576,72.033885,2
Attacks,28.771003,70.963182,1
Attacks,26.218013,69.315233,1
Attacks,31.3894007,70.3532207,1
Attacks,24.630512, 68.348436,4
Attacks,34.5,71.333,3
Attacks,34.794391,74.529788,6
Attacks,30,67,7
Attacks,34.221934,71.568272,2
Attacks,31.4483653,73.0740166,1
Attacks,34.0511024,72.0961149,2
Attacks,31.59861, 69.19239 ,4
Attacks,34.95262,72.33111,0
Attacks,30.18297,66.99873,1
Attacks,35.49203, 72.52048 ,0
Attacks,34.33388,73.20106,3
Attacks,31.31333,68.17722,2
Attacks,24.86146,67.00994,2
Attacks,34.0511024,72.0961149,0
Attacks,28.4907332,65.09577919999992,0
Attacks,34.02110,71.28742,1
Attacks,32.6044506,70.91306839999993,0
Attacks,34.7736465,72.35990029999993,0
Attacks,34.9526205,72.33111299999996,0
Attacks,24.861462,67.009939,0
Attacks,24.861462,67.009939,0
Attacks,34.856902,71.429936,1
Attacks,24.8614622,67.0099388,0
Attacks,33.70777,71.00238,0
Attacks,30.1829713,66.998734,0
Attacks,34.0149748,71.5804899,0
Attacks,24.8614622,67.0099388,0
Attacks,34.14422,72.37847,1
Attacks,34.33388,73.20106,3
Attacks,31.17041,72.70972,3
Attacks,32.26454,68.52471,0
Attacks,4.8,46.5,3
Attacks,5.1632866,0,1
Attacks,4.1632866,47.2037009,1
Attacks,8.40000, 48.48333 ,12
Attacks,35.933333,36.633333,15
Attacks,34.8158524,39.0464523,4
Attacks,15.550738,48.514391,0
Attacks,15.532815,48.494457,9
